function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K13635	430.75	393.42	270.0	1428.6599999999999
K13636	50.0	128.0	56.0	215.0
K13637	62.0	352.25	463.0	316.25
K13638	279.0	412.75	385.5	624.75
K13639	859.44	1739.47	1199.45	2469.3
K13640	279.42	2403.5	289.0	2249.25
K13641	1799.94	1508.97	1946.95	2992.3
K13642	300.5	296.5	459.5	215.0
K13643	2545.12	5073.47	2769.95	10744.289999999999
K13650	0.0	0.25	0.0	2.75
K13651	7.0	114.0	29.0	45.0
K13652	225.94	1459.97	436.20000000000005	3225.55
K13653	261.1	1563.2	432.97	3941.29
K13654	50.0	128.25	56.0	217.75
K13655	7.0	114.0	29.0	45.0
K13656	0.0	0.0	29.0	4.0
K13657	0.0	0.0	29.0	4.0
K13658	0.0	0.0	29.0	4.0
K13659	0.0	0.0	58.0	8.0
K13660	0.0	0.0	29.0	4.0
K13661	0.0	0.0	29.0	4.0
K13662	0.0	0.0	29.0	4.0
K13663	0.0	8.0	31.0	26.0
K13668	102.0	212.33	107.5	412.5
K13671	221.67	492.16	241.5	872.0
K13677	42.0	76.0	24.0	2346.5
K13683	54.44	129.47	59.45	247.3
K13684	50.0	128.25	56.0	217.75
K13686	165.0	330.83	159.5	690.0
K13687	114.0	213.83	91.5	1080.0
K13688	364.0	183.0	535.0	479.0
K13693	1211.0	1113.83	1190.0	2320.5
K13694	367.75	2357.25	574.5	2984.0
K13695	220.75	2201.25	298.0	2652.0
K13713	0.0	0.0	0.0	54.0
K13722	3.0	0.0	0.0	37.0
K13727	51.0	133.5	61.0	215.0
K13730	46.5	264.0	90.0	357.5
K13735	0.0	1.0	0.0	28.0
K13743	0.0	0.25	0.0	2.75
K13745	288.0	448.5	406.5	724.5
K13746	0.0	6.0	0.0	1.5
K13747	1791.58	7619.33	2622.0	4744.08
K13766	3019.95	8353.720000000001	4148.95	15309.530000000002
K13767	46.0	290.5	106.0	363.0
K13770	117.0	309.5	134.26999999999998	933.09
K13771	2694.35	4054.42	3096.4700000000003	8919.25
K13772	382.0	407.0	943.0	591.0
K13774	118.0	355.5	168.0	625.75
K13775	208.0	536.0	632.1	1066.25
K13776	102.0	377.0	258.5	651.5
K13777	120.0	366.5	172.0	645.75
K13778	120.0	366.5	172.0	645.75
K13779	113.0	351.5	163.0	618.75
K13786	370.0	183.0	534.0	479.0
K13787	244.67000000000002	336.5	136.5	4605.0
K13788	1077.33	2638.41	1164.25	2875.08
K13789	2913.93	8265.029999999999	2545.5699999999997	18909.370000000003
K13794	112.0	46.0	141.0	563.0
K13795	115.0	48.0	143.67000000000002	579.0
K13796	126.94	49.22	155.45	631.0500000000001
K13797	1.0	8.5	1.5	9.5
K13798	0.0	0.0	0.0	29.0
K13810	216.0	46.0	275.6	3159.0
K13812	0.0	80.0	0.0	74.0
K13815	11.0	226.5	38.5	36.5
K13816	26.5	240.5	151.5	55.5
K13818	8.0	220.0	8.0	22.0
K13819	188.44	2612.8900000000003	228.45	2707.71
K13821	3273.1400000000003	6634.97	4349.549999999999	13109.04
K13829	107.5	637.0	64.6	4836.0
K13831	0.0	80.0	0.0	74.0
K13832	83.0	422.5	156.5	1318.5
K13853	53.0	312.5	115.27	403.09000000000003
K13873	44.0	6.0	35.0	20.0
K13875	7.0	0.0	56.0	4.0
K13876	12.0	4.0	61.0	11.0
K13888	1159.62	1405.3000000000002	1393.45	2317.38
K13889	79.0	399.75	85.17	371.75
K13890	74.0	395.75	80.17	364.75
K13891	82.0	422.75	83.17	390.75
K13892	1302.5	569.75	1895.17	1184.75
K13893	2893.98	6375.57	4026.05	9255.06
K13894	2445.77	4645.8	2838.55	8120.380000000001
K13895	2445.77	4645.8	2838.55	8120.380000000001
K13896	2443.77	4613.8	2824.55	7914.380000000001
K13918	112.0	128.25	95.0	221.75
K13919	2.0	50.0	14.0	9.0
K13920	2.0	50.0	14.0	9.0
K13922	32.67	52.67	37.0	13.0
K13924	482.98	1507.6100000000001	618.6500000000001	3659.51
K13926	529.69	2076.14	832.05	1906.4599999999998
K13928	105.0	345.5	144.0	410.75
K13929	142.5	348.16999999999996	163.6	513.41
K13930	142.5	348.16999999999996	163.6	513.41
K13931	142.5	348.16999999999996	163.6	513.41
K13932	142.5	348.16999999999996	163.6	513.41
K13933	142.5	348.16999999999996	163.6	513.41
K13934	142.5	348.16999999999996	163.6	513.41
K13935	105.0	345.5	144.0	410.75
K13936	50.0	128.0	56.0	215.0
K13938	1381.6599999999999	2125.91	1637.0	1833.1599999999999
K13940	14.0	59.5	16.0	153.5
K13950	68.67	79.5	52.5	91.0
K13953	1321.96	4117.469999999999	2466.15	5946.139999999999
K13954	376.0	1108.25	541.0	1849.25
K13955	46.0	275.5	97.0	347.0
K13963	143.5	3199.5	316.0	3057.0
K13979	1914.17	2509.25	2316.5	2652.0
K13985	2.0	3.0	0.0	5.0
K13988	0.0	5.0	4.0	123.0
K13990	188.0	2593.0	150.0	7721.0
K13991	88.5	13.0	61.6	145.0
K13992	50.5	9.0	56.6	124.0
K13993	4264.91	12834.060000000001	3658.77	30565.050000000003
K13994	27.0	2.0	2.0	4.0
K13995	97.0	16.0	83.0	140.0
K14000	3.0	3.0	2.0	3.0
K14028	16.5	220.0	24.6	22.0
K14029	16.5	220.0	24.6	22.0
K14048	24.25	614.0	53.95	92.0
K14051	55.0	132.25	61.0	224.75
K14052	0.0	12.25	4.0	26.75
K14053	0.0	0.25	0.0	2.75
K14054	50.0	196.25	80.0	301.75
K14055	493.33	2234.08	747.0	3379.58
