function	SRR1397196	SRR1397265	SRR1397339	SRR1397407
3.5.2.17-RXN	2442.71	3501.0	6854.43	5568.02
3.5.2.18-RXN	8.0	61.5	50.0	274.5
3.5.4.27-RXN	20.94	30.05	135.55	304.22
3.5.5.1-RXN	1095.35	1140.5	5425.91	2575.17
3.5.5.7-RXN	20.5	40.1	58.0	269.5
3.5.99.5-RXN	30.5	30.5	108.0	91.0
3.6.1.41-RXN	2122.68	2220.0	6647.24	4239.75
3.6.3.12-RXN	4255.83	5854.15	12042.13	5033.43
3.6.3.16-RXN	1493.6799999999998	1717.27	3781.83	1316.83
3.6.3.17-RXN	10729.66	13998.25	74846.1	13643.02
3.6.3.2-RXN	327.04	551.65	1358.0	1385.67
3.6.3.20-RXN	2208.94	3381.72	5284.389999999999	2345.4700000000003
3.6.3.21-RXN	9698.94	11546.32	36243.48	18396.17
3.6.3.24-RXN	118.88	146.9	528.6	436.94
3.6.3.25-RXN	2882.9700000000003	2923.32	7766.29	3730.64
3.6.3.28-RXN	3917.51	4569.25	14347.32	6871.08
3.6.3.29-RXN	3616.37	4621.549999999999	13384.54	8986.470000000001
3.6.3.3-RXN	3354.2200000000003	4067.24	17684.120000000003	6132.87
3.6.3.30-RXN	5455.39	7511.19	24120.620000000003	10972.63
3.6.3.31-RXN	2237.79	2199.17	11392.09	3575.17
3.6.3.32-RXN	2661.21	3887.42	10641.75	7222.34
3.6.3.33-RXN	50.0	56.0	219.25	134.25
3.6.3.34-RXN	14119.68	17785.409999999996	55936.22	29570.64
3.6.3.36-RXN	896.94	802.45	2550.55	837.97
3.6.3.4-RXN	3703.22	5093.92	18606.33	10265.58
3.6.3.40-RXN	26.0	42.27	199.09	127.5
3.6.3.41-RXN	2740.12	3846.55	15669.79	6002.47
3.6.3.44-RXN	98.0	205.27	738.09	576.5
3.6.3.6-RXN	40.0	51.5	859.0	575.5
3.6.3.8-RXN	1451.95	1790.57	14619.29	3690.95
3.6.3.9-RXN	2.0	1.0	129.66	70.67
3.6.4.6-RXN	9.0	5.5	181.0	31.5
3.7.1.9-RXN	32.75	78.0	879.0	311.0
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	5290.969999999999	6150.27	36328.92	17486.16
3PGAREARR-RXN	9392.56	8533.89	52290.17999999999	21618.12
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	4435.139999999999	5483.35	14310.12	7351.97
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	2611.79	3822.95	8509.71	5060.39
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	804.94	1494.45	2822.3	1200.72
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	24.0	34.0	361.75	160.25
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	3171.63	4865.4	9026.35	5622.4400000000005
4-HYDROXYPROLINE-EPIMERASE-RXN	745.0	1554.5	1110.75	776.0
4-NITROPHENYLPHOSPHATASE-RXN	220.6	165.47	7096.79	833.7
4.1.1.32-RXN	484.29	797.95	4588.96	945.22
